Date,qaqc.check,sampleid,sample_type,farm,treatment,initialweight_g,filtered_volume_ml,final_weight_g,TSS_mgl,TUR_ntu,tur.std.check,NO3.NO2_mgl,TKN_mgl,TN_mgl,tn.std.check,TIP_mgl,tip.std.check,NH3_mgl,nh3.std.check,OrthoP_mgl,orthop.std.check,NOx_mgl,nox.std.check,NO2_mgl,no2.std.check,NO3_mgl,event_disch_l,acft_discharge,in_runoff_ac,TSS_kg,TN_kg,TIP_kg,TSS_lb,TN_lb,TIP_lb,TSS_lbac,TN_lbac,TIP_lbac,dissolvedO2_mg_l,dissolvedO2_sat_per,turbidity_sonde_ntu,watertemp_c
2/19/2018,FALSE,MUR1,EOF,MUR,CCMT,0.093,50,0.1094,328,645.42,TRUE,1.04,1.29,2.33,TRUE,1.91,TRUE,0.0711,TRUE,0.173,TRUE,0.134,FALSE,-0.029,TRUE,0.109,52021.28,0.042180987,0.026584656,17.06297984,0.121209582,0.099360645,37.61704536,0.267218645,0.219050478,1.975685155,0.014034593,0.011504752,,,,
2/19/2018,FALSE,MUR2,EOF,MUR,FBM,0.0912,50,0.1081,338,1025.2,TRUE,1.59,0.672,2.26,TRUE,2.95,TRUE,-0.047,TRUE,0.121,TRUE,0.434,FALSE,-0.0468,TRUE,0.409,170555.9,0.138293718,0.101748903,57.6478942,0.385456334,0.503139905,127.0905476,0.849777034,1.109222235,7.8791412,0.052683015,0.068767652,,,,
2/19/2018,FALSE,MUZ1,EOF,MUZ,CCMT,0.0935,50,0.1154,438,333.81,TRUE,0.821,1.37,2.19,TRUE,3.3,TRUE,0.0811,TRUE,0.341,TRUE,0.0477,FALSE,-0.0501,TRUE,0.0227,133518.8,0.108262518,0.067348378,58.4812344,0.292406172,0.44061204,128.9277294,0.644638647,0.971373303,6.683656265,0.033418281,0.050356314,,,,
2/19/2018,FALSE,PRE1,EOF,PRE,CCMT,0.0933,50,0.128,694,1452.4,TRUE,1.11,1.46,2.57,TRUE,3.3,TRUE,0.063,TRUE,0.0986,TRUE,0.13,FALSE,-0.0463,TRUE,0.105,874135.206,0.70878467,0.232261498,606.649833,2.246527479,2.88464618,1337.420222,4.952694481,6.359490968,36.52157897,0.135245617,0.173661687,,,,
2/19/2018,FALSE,SCH1,EOF,SCH,CCMT,0.0936,50,0.101,148,229.05,TRUE,0.796,1.39,2.15,TRUE,2.31,TRUE,0.0405,TRUE,0.116,TRUE,0.0106,FALSE,-0.0437,TRUE,-0.0144,47746.01,0.038714423,0.044756558,7.06640948,0.102653922,0.110293283,15.57860634,0.226310835,0.243152572,1.500829127,0.021802585,0.023425103,,,,
2/19/2018,FALSE,SIM1,EOF,SIM,CCMT,0.0951,50,0.1047,192,464.37,TRUE,0.576,0.764,1.34,TRUE,0.154,TRUE,0.0418,TRUE,0.0425,TRUE,0.0215,FALSE,-0.0383,TRUE,-0.0035,45139.31,0.036600804,0.030735454,8.66674752,0.060486675,0.006951454,19.10671158,0.133348925,0.015325175,1.33706869,0.009331625,0.001072441,,,,
2/19/2018,FALSE,SIM2,EOF,SIM,FBM,0.093,50,0.1395,930,914.13,TRUE,1.56,0.248,1.81,TRUE,1.02,TRUE,-0.0176,TRUE,-0.00665,TRUE,0.261,FALSE,-0.0356,TRUE,0.236,109599,0.088867363,0.060625831,101.92707,0.19837419,0.11179098,224.7084185,0.437335739,0.246454395,12.77478218,0.024862748,0.014011051,,,,
2/23/2018,TRUE,MUR1,EOF,MUR,CCMT,0.0933,50,0.1409,952,437,TRUE,1.02,2.35,3.37,TRUE,4.26,TRUE,0.0338,TRUE,0.158,TRUE,0.0855,FALSE,-0.0425,TRUE,0.0605,2758754,2.236910871,1.409817776,2626.333808,9.29700098,11.75229204,5790.015513,20.49616836,25.90910303,304.0974534,1.076479431,1.360772218,,,,
2/23/2018,TRUE,MUR2,EOF,MUR,FBM,0.0953,50,0.1731,1556,531,TRUE,1.12,2.42,3.54,TRUE,7.81,TRUE,0.0328,TRUE,0.186,TRUE,0.248,FALSE,-0.0397,TRUE,0.223,2445556.3,1.982957332,1.458950827,3805.285603,8.657269302,19.0997947,8389.13264,19.0858159,42.1074074,520.095018,1.183249591,2.610502629,,,,
2/23/2018,TRUE,MUZ1,EOF,MUZ,CCMT,0.0938,50,0.1074,272,82.6,TRUE,0.36,0.662,1.02,TRUE,1.57,TRUE,0.208,TRUE,0.22,TRUE,0.0313,FALSE,-0.0396,TRUE,0.0063,1461881,1.185353062,0.737389152,397.631632,1.49111862,2.29515317,876.6186959,3.28732011,5.059894679,45.44420404,0.170415765,0.262306619,,,,
2/23/2018,TRUE,PRE1,EOF,PRE,CCMT,0.092,20,0.209,5850,3690,TRUE,3.61,4.12,7.72,TRUE,22.7,TRUE,0.0946,TRUE,0.259,TRUE,0.427,FALSE,-0.0395,TRUE,0.402,261916.545,0.212372675,0.069592357,1532.211788,2.021995727,5.945505572,3377.914108,4.457691781,13.10746158,92.24232956,0.121728339,0.357931775,,,,
2/23/2018,TRUE,SIM1,EOF,SIM,CCMT,0.0925,50,0.1495,1140,314,TRUE,0.768,1.14,1.9,TRUE,3.3,TRUE,0.0343,TRUE,0.0659,TRUE,0.0606,FALSE,-0.0343,TRUE,0.0356,5315815,4.310280786,3.619549996,6060.0291,10.1000485,17.5421895,13359.94015,22.26656692,38.67351097,934.9153362,1.558192227,2.706333868,,,,
2/23/2018,TRUE,SIM2,EOF,SIM,FBM,0.094,50,0.1626,1372,491,TRUE,0.927,1.49,2.41,TRUE,4.08,TRUE,-0.00539,TRUE,0.0657,TRUE,0.239,FALSE,-0.0405,TRUE,0.214,2764966,2.241947815,1.5294698,3793.533352,6.66356806,11.28106128,8363.223628,14.69050215,24.8702277,475.4533046,0.835162146,1.413884463,,,,
2/26/2018,TRUE,MUR1,EOF,MUR,CCMT,0.0921,50,0.1163,484,721,TRUE,0.996,0.901,1.9,TRUE,3.13,TRUE,0.314,TRUE,0.858,TRUE,0.0179,FALSE,-0.0385,TRUE,-0.0071,1136247,0.921315661,0.580661131,549.943548,2.1588693,3.55645311,1212.405546,4.759443259,7.840556526,63.67676187,0.249970759,0.411793935,,,,
2/26/2018,TRUE,MUR2,EOF,MUR,FBM,0.0924,20,0.1315,1955,261,TRUE,3.67,1.28,4.96,TRUE,7.83,TRUE,0.0732,TRUE,0.301,TRUE,0.422,FALSE,-0.0464,TRUE,0.397,2701281.3,2.190309649,1.611509245,5281.004942,13.39835525,21.15103258,11642.50349,29.53801398,46.62956642,721.7919091,1.831246992,2.890859667,,,,
2/26/2018,TRUE,MUZ1,EOF,MUZ,CCMT,0.0918,50,0.1057,278,336,TRUE,0.578,0.931,1.51,TRUE,2.21,TRUE,0.0134,TRUE,0.253,TRUE,0.00813,FALSE,-0.0495,TRUE,-0.01687,2113107,1.713393807,1.065874841,587.443746,3.19079157,4.66996647,1295.078482,7.034419095,10.29540808,67.13729821,0.36466662,0.533717371,,,,
2/26/2018,TRUE,PRE1,EOF,PRE,CCMT,0.0934,20,0.2575,8205,9900,TRUE,5.6,4.5,10.5,TRUE,21.1,TRUE,0.0287,TRUE,0.196,TRUE,0.137,FALSE,-0.0386,TRUE,0.112,1943598.84,1.57594964,0.516422602,15947.22848,20.40778782,41.00993552,35157.25991,44.99100903,90.41050386,960.056251,1.22859118,2.468883229,,,,
2/26/2018,TRUE,SCH1,EOF,SCH,CCMT,0.0936,50,0.1191,510,639,TRUE,0.983,0.92,1.9,TRUE,3.55,TRUE,0.0133,TRUE,0.507,TRUE,0.0318,FALSE,-0.0322,TRUE,0.0068,699338.7,0.567052496,0.655552018,356.662737,1.32874353,2.482652385,786.29867,2.929347986,5.473255448,75.75131695,0.282210789,0.527288579,,,,
2/26/2018,TRUE,SCH2,EOF,SCH,FBM,0.0936,20,0.1083,735,822,TRUE,1.29,2.25,3.53,TRUE,4.67,TRUE,0.0207,TRUE,1.28,TRUE,0.0035,FALSE,-0.0384,TRUE,-0.0215,232237,0.188307283,0.247772741,170.694195,0.81979661,1.08454679,376.3124223,1.807323606,2.390991853,41.26232701,0.198171448,0.262170159,,,,
