DATE/TIME,Date Analyzed,LOCCODE,ST/GRB,Alk,NH3,TSS,Nitrate,Nitrite,NN,,TP,Turbidity,DIP,TIP,TN,OrgN,TOC,COD,Cl,TKN
1/16/2014,,HN6,GRB,57.4,1.39,24,,,0.04,,0.42,,,,1.43,1.23,0.16,14,31,6.2
3/31/2014,,HN6,GRB,61.4,2.76,122,,,0.53,,0.67,,,,3.29,0.07,2.69,18,34,23.4
5/29/2014,,HN6,GRB,25.5,1.52,52,,,5.99,,0.41,,,,,,0.24,14,30,29.1
6/25/2014,,HN6,GRB,45.7,11.9,158,,,1.81,,0.50,,,,,,2.77,17,56,13.2
8/12/2014,,HN6,GRB,57.6,1.37,51,,,1.65,,0.35,,,,,,0.15,14,30,8.5
10/16/2014,,HN6,GRB,49.2,0.95,196,,,0.24,,0.48,,,,,,0.05,11,23,13.8
12/7/2014,,HN6,GRB,34.4,0.36,110,,,1.45,,0.87,,,,,,0.06,11,26,15.0
1/14/2015,,HN6,GRB,38.9,0.88,52,,,0.37,,0.42,,,,,,0.15,16,40,16.4
1/19/2011,1/20/2011,HN6,GRB,,0.018,156,3.66,0.00524,3.66524,0.071405282,0.285295077,115,0.219,0.875,,,,,,
1/26/2011,1/27/2011,HN6,GRB,,0.042,144,0.942,0.0104,0.9524,0.142158461,0.645582002,254,0.436,1.98,,,,,,
2/16/2011,2/17/2011,HN6,GRB,,0.025,134,0.0603,0,0.0603,0.068470818,0.024127812,160,0.21,0.074,,,,,,
3/2/2011,3/3/2011,HN6,GRB,,1.38,210,0.63925,0.00675,0.646,0.055428758,0.577111184,352,0.17,1.77,,,,,,
3/7/2011,3/8/2011,HN6,GRB,,0.154,82,0.37966,0.00834,0.388,0,0,103,0.12,0,,,,,,
3/15/2011,3/16/2011,HN6,GRB,,0.182,86.67,0.096,0,0.096,0.176067819,0.309422889,140,0.54,0.949,,,,,,
3/30/2011,3/31/2011,HN6,GRB,,1.67,252,3.1271,0.0129,3.14,0.254320183,1.147701337,327,0.78,3.52,,,,,,
4/20/2011,4/21/2011,HN6,GRB,,1.12,1000,0,0.0908,0.0539,0.270622758,0.864036518,629,0.83,2.65,,,,,,
4/25/2011,4/26/2011,HN6,GRB,,0.455,50,0.2468,0.0112,0.258,0.40430388,0.449951092,97.4,1.24,1.38,,,,,,
1/26/2011,1/27/2011,HN6,GRB FD,,0.037,150,0.799,0.00871,0.80771,0.143462667,0.642321487,258,0.44,1.97,,,,,,
11/28/2012,,HNO,GRB,103,2.08,44,,,<MQL,,0.22,,,,.,2.04,0.04,20,45,8.8
12/12/2012,,HNO,GRB,79.4,0.74,97,,,0.19,,0.31,,,,0.93,.,<MQL,16,42,12.9
2/4/2013,,HNO,GRB,59.7,1.66,44,,,0.29,,0.34,,,,1.95,1.47,0.19,8,11,13.6
2/18/2013,,HNO,GRB,58.0,1.57,38,,,0.36,,0.24,,,,1.93,1.52,0.05,8,12,8.4
4/8/2013,,HNO,GRB,35.6,1.17,38,,,0.42,,0.22,,,,1.59,.,<MQL,10,11,3.7
6/5/2013,,HNO,GRB,46.1,0.88,20,,,0.02,,0.07,,,,0.9,.,<MQL,6,<MQL,3.8
6/25/2013,,HNO,GRB,58.8,0.83,43,,,0.11,,0.06,,,,0.94,0.77,0.06,7,10,10.0
7/15/2013,,HNO,GRB,77.1,1.01,21,,,<MQL,,0.10,,,,.,.,<MQL,10,<MQL,4.5
8/5/2013,,HNO,GRB,83.9,0.95,28,,,<MQL,,0.11,,,,.,.,<MQL,14,<MQL,6.4
8/28/2013,,HNO,GRB,100,1.67,130,,,<MQL,,0.25,,,,.,.,<MQL,17,33,11.5
9/18/2013,,HNO,GRB,21.9,1.96,128,,,<MQL,,0.24,,,,.,.,<MQL,36,51,6.6
1/16/2014,,HNO,GRB,68.2,1.61,54,,,0.11,,0.28,,,,1.72,1.56,0.05,14,28,5.0
3/11/2014,,HNO,GRB,43.6,1.48,53,,,0.26,,0.24,,,,1.74,1.42,0.06,13,14,5.7
3/31/2014,,HNO,GRB,56.6,2.11,35,,,0.46,,0.27,,,,2.57,-0.55,2.66,12,13,6.0
12/8/2011,,HNSTA,GRB,37.7,0.65,14,,,0.26,,0.37,,,,0.91,.,<MQL,14,42,4.9
1/19/2012,,HNSTA,GRB,65.2,0.98,24,,,<MQL,,0.26,,,,.,.,<MQL,23,56,3.4
1/28/2012,,HNSTA,GRB,48.0,0.78,33,,,<MQL,,0.39,,,,.,0.74,0.04,17,58,6.1
2/20/2012,,HNSTA,GRB,49.0,0.81,81,,,0.08,,0.45,,,,0.89,.,<MQL,12,88,9.8
5/16/2012,,HNSTA,GRB,185,1.65,24,,,0.68,,0.24,,,,2.33,1.41,0.24,13,28,11.5
6/6/2012,,HNSTA,GRB,133,1.77,6,,,1.27,,0.24,,,,3.04,1.36,0.41,22,40,7.7
7/8/2012,,HNSTA,GRB,162,1.77,1550,,,1.04,,0.95,,,,2.81,1.09,0.68,10,12,9.6
8/8/2012,,HNSTA,GRB,274,0.80,7,,,<MQL,,0.39,,,,.,.,<MQL,13,31,6.9
9/4/2012,,HNSTA,GRB,161,1.59,16,,,<MQL,,0.48,,,,.,1.47,0.12,17,41,9.5
12/12/2012,,HNSTA,GRB,37.4,1.63,31,,,1.08,,0.40,,,,2.71,.,<MQL,15,53,25.0
2/4/2013,,HNSTA,GRB,44.4,1.57,78,,,0.13,,0.35,,,,1.7,1.42,0.15,12,29,2.1
2/18/2013,,HNSTA,GRB,51.3,1.07,18,,,0.07,,0.22,,,,1.14,.,<MQL,14,30,6.2
2/18/2013,,HNSTA,GRB,16.7,17.5,1560,,,0.32,,1.14,,,,17.82,17.17,0.33,13,14,6.4
4/8/2013,,HNSTA,GRB,30.2,1.48,47,,,0.82,,0.28,,,,2.3,1.36,0.12,13,25,5.0
7/15/2013,,HNSTA,GRB,255,0.77,49,,,<MQL,,0.19,,,,.,.,<MQL,14,16,6.1
9/18/2013,,HNSTA,GRB,275,0.93,16,,,<MQL,,0.15,,,,.,.,<MQL,22,47,8.0
1/16/2014,,HNSTA,GRB,50.5,1.33,34,,,0.18,,0.43,,,,1.51,.,<MQL,16,40,7.5
3/11/2014,,HNSTA,GRB,64.0,3.74,228,,,2.28,,1.03,,,,6.02,3.10,0.64,14,18,15.9
3/31/2014,,HNSTA,GRB,50.0,3.92,186,,,3.38,,0.56,,,,7.3,2.42,1.50,19,27,14.8
6/25/2014,,HNSTA,GRB,34.7,3.58,77,,,3.72,,0.17,,,,,,1.14,13,23,13.7
7/28/2014,,HNSTA,GRB,61.3,0.87,68,,,0.03,,0.28,,,,,,0.07,10,14,8.4
8/12/2014,,HNSTA,GRB,27.4,0.66,74,,,1.11,,0.35,,,,,,0.11,7,20,6.3
8/19/2014,,HNSTA,GRB,25.4,2.23,84,,,2.23,,0.34,,,,,,1.05,8,17,9.6
10/16/2014,,HNSTA,GRB,50.5,0.68,28,,,0.07,,0.60,,,,,,0.06,12,27,11.4
11/12/2014,,HNSTA,GRB,58.4,1.04,20,,,0.99,,0.52,,,,,,0.17,16,38,20.4
11/18/2014,,HNSTA,GRB,32.9,2.65,78,,,1.65,,2.25,,,,,,1.28,15,35,18.5
12/7/2014,,HNSTA,GRB,33.6,2.08,163,,,1.04,,1.10,,,,,,0.21,13,27,9.3
1/14/2015,,HNSTA,GRB,36.9,0.72,74,,,0.32,,0.48,,,,,,0.18,9,22,20.2
11/28/2012,,HNT,GRB,71.1,1.60,36,,,1.57,,0.50,,,,3.17,1.47,0.13,19,36,20.5
12/12/2012,,HNT,GRB,54.3,0.87,115,,,0.65,,0.73,,,,1.52,.,<MQL,17,42,16.8
2/4/2013,,HNT,GRB,37.8,1.96,108,,,0.20,,0.55,,,,2.16,1.44,0.52,9,16,19.3
2/18/2013,,HNT,GRB,74.6,1.46,93,,,0.16,,0.49,,,,1.62,1.37,0.09,10,27,6.6
4/8/2013,,HNT,GRB,40.7,1.10,57,,,0.84,,0.25,,,,1.94,0.97,0.13,14,24,3.9
6/5/2013,,HNT,GRB,67.5,8.46,336,,,0.05,,1.34,,,,8.51,3.04,5.42,17,19,10.7
6/25/2013,,HNT,GRB,181,1.84,28,,,4.28,,0.08,,,,6.12,1.51,0.33,21,18,6.2
7/15/2013,,HNT,GRB,159,1.94,57,,,<MQL,,0.32,,,,.,.,<MQL,14,22,6.1
8/5/2013,,HNT,GRB,154,1.76,42,,,1.96,,0.16,,,,3.72,1.60,0.16,24,19,6.9
8/28/2013,,HNT,GRB,194,1.70,71,,,<MQL,,0.30,,,,.,.,<MQL,22,18,10.3
9/18/2013,,HNT,GRB,283,1.77,132,,,<MQL,,0.41,,,,.,.,<MQL,18,28,6.4
1/16/2014,,HNT,GRB,54.8,1.80,70,,,0.22,,0.51,,,,2.02,1.62,0.18,11,31,5.3
3/11/2014,,HNT,GRB,37.8,3.37,95,,,2.45,,0.67,,,,5.82,2.62,0.75,13,23,12.5
3/31/2014,,HNT,GRB,48.6,10.4,249,,,3.87,,0.71,,,,14.27,.,<MQL,17,24,17.1
12/8/2011,,HS1,GRB,24.8,0.49,43,,,0.16,,0.43,,,,0.65,0.44,0.05,8,72,6.9
1/19/2012,,HS1,GRB,52.9,1.12,76,,,0.03,,0.60,,,,1.15,0.60,0.52,16,23,3.6
1/28/2012,,HS1,GRB,41.9,0.54,62,,,<MQL,,0.43,,,,.,0.45,0.09,11,35,4.4
2/20/2012,,HS1,GRB,38.7,1.13,150,,,0.04,,0.53,,,,1.17,0.62,0.51,12,66,5.7
7/8/2012,,HS1,GRB,212,2.12,1760,,,<MQL,,1.92,,,,.,1.83,0.29,22,136,9.5
8/8/2012,,HS1,GRB,245,0.28,79,,,0.08,,0.16,,,,0.36,0.22,0.06,6,16,15.5
11/28/2012,,HS1,GRB,57.4,1.65,76,,,<MQL,,0.46,,,,.,1.57,0.08,17,27,11.2
12/12/2012,,HS1,GRB,35.0,1.17,300,,,1.29,,0.53,,,,2.46,1.08,0.09,13,42,35.5
2/4/2013,,HS1,GRB,35.3,1.47,41,,,0.02,,0.50,,,,1.49,1.29,0.18,13,22,17.3
2/18/2013,,HS1,GRB,46.4,1.81,93,,,0.02,,0.70,,,,1.83,1.59,0.22,11,24,9.2
2/18/2013,,HS1,GRB,.,7.65,.,,,0.35,,2.08,,,,8,.,<MQL,8,24,.
4/8/2013,,HS1,GRB,40.1,1.46,68,,,<MQL,,0.70,,,,.,1.33,0.13,15,27,1.2
7/15/2013,,HS1,GRB,196,1.70,47,,,0.03,,0.34,,,,1.73,.,<MQL,18,28,7.4
8/5/2013,,HS1,GRB,241,1.09,11,,,0.04,,0.16,,,,1.13,.,<MQL,24,20,9.3
9/18/2013,,HS1,GRB,273,2.21,60,,,<MQL,,0.39,,,,.,.,<MQL,40,59,7.1
1/16/2014,,HS1,GRB,45.6,1.16,12,,,0.03,,0.42,,,,1.19,.,<MQL,14,19,4.0
3/11/2014,,HS1,GRB,29.8,1.38,61,,,0.03,,0.52,,,,1.41,.,<MQL,11,17,3.7
3/31/2014,,HS1,GRB,36.8,1.36,12,,,1.20,,0.15,,,,2.56,1.29,0.07,17,37,2.1
6/25/2014,,HS1,GRB,53.7,1.48,63,,,<MQL,,0.73,,,,,,0.04,33,74,13.3
8/12/2014,,HS1,GRB,27.7,1.29,124,,,0.26,,0.49,,,,,,0.14,8,16,6.8
10/16/2014,,HS1,GRB,30.1,0.71,141,,,0.05,,0.33,,,,,,0.15,12,24,13.0
11/12/2014,,HS1,GRB,48.9,0.88,41,,,0.27,,0.19,,,,,,0.12,16,49,11.4
12/7/2014,,HS1,GRB,36.4,0.37,28,,,0.04,,0.29,,,,,,0.09,17,34,9.5
1/14/2015,,HS1,GRB,27.7,0.67,22,,,0.04,,0.32,,,,,,0.19,10,25,11.3
2/18/2015,,HS1,GRB,25.9,0.62,36,,,<MQL,,0.22,,,,,,<MQL,12,44,16.9
11/4/2010,11/5/2010,HS1,GRB,,0.103,0,26.48,0.066,26.546,0.14835344,0.218454516,10.4,0.455,0.67,,,,,,
12/1/2010,12/3/2010,HS1,GRB,,0.119,200,2.55,0.046,2.596,0.200521682,0.557548093,361,0.615,1.71,,,,,,
12/9/2010,12/10/2010,HS1,GRB,,1.76,100,0.977,0.052,1.029,0.157156831,0.381480274,145,0.482,1.17,,,,,,
1/19/2011,1/20/2011,HS1,GRB,,0.068,100,5,0.00132,5.00132,0,0.185849364,84.7,0,0.57,,,,,,
1/26/2011,1/27/2011,HS1,GRB,,0.09,232,1.94,0.0265,1.9665,0.06031953,0.681447669,357,0.185,2.09,,,,,,
2/16/2011,2/17/2011,HS1,GRB,,1.34,90,0.0465,0.00717,0.05367,0,0,74,0.18,0,,,,,,
3/2/2011,3/3/2011,HS1,GRB,,1.35,154,0.1993,0.0107,0.21,0.029344636,0.077274209,208,0.09,0.237,,,,,,
